sector,subsector,gas,state,min,max,mean
manufacturing,aluminum,ch4,Andhra Pradesh,1,1,1.0
manufacturing,aluminum,ch4,Chhattisgarh,2,2,2.0
manufacturing,aluminum,ch4,Haryana,1,1,1.0
manufacturing,aluminum,ch4,Jharkhand,1,1,1.0
manufacturing,aluminum,ch4,Karnataka,1,1,1.0
manufacturing,aluminum,ch4,Kerala,1,1,1.0
manufacturing,aluminum,ch4,Madhya Pradesh,2,2,2.0
manufacturing,aluminum,ch4,Odisha,7,7,7.0
manufacturing,aluminum,ch4,Punjab,1,1,1.0
manufacturing,aluminum,ch4,Tamil Nadu,1,1,1.0
manufacturing,aluminum,ch4,Uttar Pradesh,1,1,1.0
manufacturing,aluminum,co2,Andhra Pradesh,1,1,1.0
manufacturing,aluminum,co2,Chhattisgarh,2,2,2.0
manufacturing,aluminum,co2,Haryana,1,1,1.0
manufacturing,aluminum,co2,Jharkhand,1,1,1.0
manufacturing,aluminum,co2,Karnataka,1,1,1.0
manufacturing,aluminum,co2,Kerala,1,1,1.0
manufacturing,aluminum,co2,Madhya Pradesh,2,2,2.0
manufacturing,aluminum,co2,Odisha,7,7,7.0
manufacturing,aluminum,co2,Punjab,1,1,1.0
manufacturing,aluminum,co2,Tamil Nadu,1,1,1.0
manufacturing,aluminum,co2,Uttar Pradesh,1,1,1.0
manufacturing,aluminum,n2o,Andhra Pradesh,1,1,1.0
manufacturing,aluminum,n2o,Chhattisgarh,2,2,2.0
manufacturing,aluminum,n2o,Haryana,1,1,1.0
manufacturing,aluminum,n2o,Jharkhand,1,1,1.0
manufacturing,aluminum,n2o,Karnataka,1,1,1.0
manufacturing,aluminum,n2o,Kerala,1,1,1.0
manufacturing,aluminum,n2o,Madhya Pradesh,2,2,2.0
manufacturing,aluminum,n2o,Odisha,7,7,7.0
manufacturing,aluminum,n2o,Punjab,1,1,1.0
manufacturing,aluminum,n2o,Tamil Nadu,1,1,1.0
manufacturing,aluminum,n2o,Uttar Pradesh,1,1,1.0
manufacturing,cement,ch4,Andhra Pradesh,25,25,25.0
manufacturing,cement,ch4,Assam,3,3,3.0
manufacturing,cement,ch4,Bihar,1,1,1.0
manufacturing,cement,ch4,Chhattisgarh,10,10,10.0
manufacturing,cement,ch4,Gujarat,9,9,9.0
manufacturing,cement,ch4,Himachal Pradesh,4,4,4.0
manufacturing,cement,ch4,Jammu and Kashmir,3,3,3.0
manufacturing,cement,ch4,Jharkhand,1,1,1.0
manufacturing,cement,ch4,Karnataka,11,11,11.0
manufacturing,cement,ch4,Madhya Pradesh,16,16,16.0
manufacturing,cement,ch4,Maharashtra,6,6,6.0
manufacturing,cement,ch4,Meghalaya,9,9,9.0
manufacturing,cement,ch4,Odisha,3,3,3.0
manufacturing,cement,ch4,Punjab,1,1,1.0
manufacturing,cement,ch4,Rajasthan,23,23,23.0
manufacturing,cement,ch4,Tamil Nadu,19,19,19.0
