index,state,shap_value
0,Andhra Pradesh,-60515.70778576073
1,Chhattisgarh,145240.13164276557
2,Haryana,-15984.482174798271
3,Jharkhand,-21692.977508521526
4,Karnataka,-35831.94558931704
5,Kerala,-52226.26592534518
6,Madhya Pradesh,-8417.027854666912
7,Odisha,127640.5815877622
8,Punjab,-64182.111320282034
9,Tamil Nadu,-36496.41700641399
10,Uttar Pradesh,154109.55072052957
11,Andhra Pradesh,-244958.88823356183
12,Chhattisgarh,436238.4690523264
13,Haryana,-181769.57265062467
14,Jharkhand,-70896.71976178148
15,Karnataka,-127010.46259779959
16,Kerala,-276509.2748497608
17,Madhya Pradesh,-39158.39350700235
18,Odisha,1507115.4074198033
19,Punjab,-250310.67544589995
20,Tamil Nadu,-193444.681162689
21,Uttar Pradesh,1060108.6113282805
22,Andhra Pradesh,-60504.563588532204
23,Chhattisgarh,145238.78098433313
24,Haryana,-15996.80789841441
25,Jharkhand,-21695.058572789374
26,Karnataka,-35832.21093797448
27,Kerala,-52225.55248290937
28,Madhya Pradesh,-8414.49235055051
29,Odisha,127655.08046042937
30,Punjab,-64189.64908214279
31,Tamil Nadu,-36504.501899153554
32,Uttar Pradesh,154099.95377705435
33,Andhra Pradesh,-151056.03453117184
34,Assam,-47730.706266295565
35,Bihar,103564.66236041623
36,Chhattisgarh,202844.16096881492
37,Gujarat,95258.87401353582
38,Himachal Pradesh,-35862.489063649686
39,Jammu and Kashmir,-43567.320352005234
40,Jharkhand,-30525.809271845366
41,Karnataka,4973.178413835089
42,Madhya Pradesh,65336.52574650636
43,Maharashtra,-48300.618443521606
44,Meghalaya,-246163.38979537383
45,Odisha,19478.84960976783
46,Punjab,-56435.40075170317
47,Rajasthan,455.6952666213388
48,Tamil Nadu,-72173.6671623698
49,Telangana,-97161.93719264142
50,Uttar Pradesh,42081.2398673503
51,Andhra Pradesh,-621962.1299362333
52,Assam,-377236.6044581276
53,Bihar,172128.89888751108
54,Chhattisgarh,709073.3653412603
55,Gujarat,514295.37472037075
56,Himachal Pradesh,-323373.78211759415
57,Jammu and Kashmir,-363563.9834857341
58,Jharkhand,-165093.60148631295
59,Karnataka,294360.59422242
60,Madhya Pradesh,586244.2094432241
61,Maharashtra,-376697.81490885874
62,Meghalaya,-1973295.1711485952
63,Odisha,464916.76704642456
64,Punjab,-146297.11917258968
65,Rajasthan,333008.400804953
66,Tamil Nadu,-405480.4430313419
67,Telangana,-857505.5720809272
68,Uttar Pradesh,17248.857636785906
69,Andhra Pradesh,-151058.64721970368
70,Assam,-47728.39920510597
71,Bihar,103572.62485258261
72,Chhattisgarh,202837.39808349145
73,Gujarat,95233.19804840573
74,Himachal Pradesh,-35858.38862703403
75,Jammu and Kashmir,-43571.95944409294
76,Jharkhand,-30528.069077964876
77,Karnataka,4976.356675162872
78,Madhya Pradesh,65340.916397404646
79,Maharashtra,-48278.36410761753
80,Meghalaya,-246157.85748675338
81,Odisha,19478.61735980907
82,Punjab,-56442.90664658341
83,Rajasthan,457.5244125694047
84,Tamil Nadu,-72172.75868215834
85,Telangana,-97161.02675010724
86,Uttar Pradesh,42075.97339954867
87,Andhra Pradesh,42486.8823634366
88,Assam,-41764.22736393892
89,Goa,70039.40634545415
90,Gujarat,54296.21880224056
91,Madhya Pradesh,-54847.651438402056
92,Maharashtra,-23564.156811024623
93,Punjab,-100403.69397967051
94,Rajasthan,1883.7066402698945
95,Tamil Nadu,-53504.54293053327
96,Uttar Pradesh,131384.14180893847
97,West Bengal,36134.62176014693
98,Andhra Pradesh,751308.472796153
99,Assam,-398076.41815291817
100,Goa,367363.8326716605
101,Gujarat,-22694.02437743779
102,Madhya Pradesh,-492728.95741367474
103,Maharashtra,-91327.90205727052
104,Punjab,-573895.6504240389
105,Rajasthan,313579.6263186106
106,Tamil Nadu,-333311.9640411438
107,Uttar Pradesh,949298.694367384
108,West Bengal,-118486.28448328287
109,Andhra Pradesh,42497.84427827791
110,Assam,-41761.92363992091
111,Goa,70031.60259611468
112,Gujarat,54268.683273391274
113,Madhya Pradesh,-54845.636639756696
114,Maharashtra,-23542.289057242127
115,Punjab,-100411.1985648877
116,Rajasthan,1876.4581450437213
117,Tamil Nadu,-53508.810362848635
118,Uttar Pradesh,131427.41967952324
119,West Bengal,36142.44371122454
